sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Soumya C S,Soumya C.S.,A Double Attention-Enhanced Deep CNN Optimized via Multitropic Algorithm for Psoriasis Detection Using Hirudinaria Granulosa,A Double Attention-Enhanced Deep CNN Optimized via Multitropic Algorithm for Psoriasis Detection Using Hirudinaria Granulosa,3rd IEEE International Conference on Networks Multimedia and Information Technology Nmitcon 2025,,,1-6,2-s2.0-105020836358,2025-01-01,2025,10.1109/NMITCON65824.2025.11188367,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105020836358,,,,,YES,
2,Soumya C S,Soumya C.S.,A Hybrid Deep Learning Approach for Psoriasis Diagnosis Using Fuzzy-Aware Preprocessing and Gradient-Enhanced CNN,A Hybrid Deep Learning Approach for Psoriasis Diagnosis Using Fuzzy-Aware Preprocessing and Gradient-Enhanced CNN,3rd International Conference on Emerging Computation and Information Technologies Icecit 2025 Book of Abstracts,,,1-6,2-s2.0-105036376419,2025-01-01,2025,10.1109/ICECIT67774.2025.11450990,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105036376419,,,,,YES,
3,Soumya C S,Soumya C.S.,HiGMA-DADCN: Hirudinaria granulosa multitropic algorithm optimised double attention enabled deep convolutional neural network for psoriasis classification,HiGMA-DADCN: Hirudinaria granulosa multitropic algorithm optimised double attention enabled deep convolutional neural network for psoriasis classification,Computer Methods in Biomechanics and Biomedical Engineering Imaging and Visualization,13,1,2485100,2-s2.0-105002318834,2025-01-01,2025,10.1080/21681163.2025.2485100,Taylor and Francis Ltd.,N/A,N/A,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105002318834,,,,,YES,
4,Soumya C S,Chetan D.S.,Survey on Mobile Call Setup Using Machine Learning,Survey on Mobile Call Setup Using Machine Learning,2025 World Conference on Cutting Edge Science and Technology Wccest 2025,,,1-7,2-s2.0-105036561751,2025-01-01,2025,10.1109/WCCEST66994.2025.11389936,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105036561751,,,,,YES,
5,Soumya C S,R C.A.N.,Nanomaterials-based flexible wireless system to monitor and record bio-signals from different human motions,Nanomaterials-based flexible wireless system to monitor and record bio-signals from different human motions,Green Flexible Electronics for Sustainable Healthcare,,,149-165,2-s2.0-105029206559,2025-01-01,2025,10.1016/B978-0-443-27554-8.00009-5,Elsevier,N/A,N/A,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105029206559,,,,,YES,
6,Soumya C S,Kudva A.K.,"Unveiling Media Bias: Investigating Influences, Politics, and Solutions through Advanced Classification Techniques","Unveiling Media Bias: Investigating Influences, Politics, and Solutions through Advanced Classification Techniques",2nd IEEE International Conference on Advances in Information Technology Icait 2024 Proceedings,,,1-6,2-s2.0-85208823866,2024-01-01,2024,10.1109/ICAIT61638.2024.10690624,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85208823866,,,,,YES,
7,Soumya C S,Disha D.N.,Enhancing Road Safety: A Deep Learning Approach to Accurate Traffic Sign Classification and its Implications for Autonomous Vehicles,Enhancing Road Safety: A Deep Learning Approach to Accurate Traffic Sign Classification and its Implications for Autonomous Vehicles,2nd IEEE International Conference on Advances in Information Technology Icait 2024 Proceedings,,,1-5,2-s2.0-85208824872,2024-01-01,2024,10.1109/ICAIT61638.2024.10690798,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85208824872,,,,,YES,
8,Soumya C S,Pallavi N.,Revolutionizing Transportation Infrastructure and Communication Technology through Blockchain and 5G Simulation,Revolutionizing Transportation Infrastructure and Communication Technology through Blockchain and 5G Simulation,Proceedings of the 2nd International Conference on Intelligent and Innovative Technologies in Computing Electrical and Electronics Iciitcee 2024,,,1-7,2-s2.0-85189802258,2024-01-01,2024,10.1109/IITCEE59897.2024.10467708,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85189802258,,,,,YES,
9,Soumya C S,Disha D.N.,Predictive Modelling of Bipolar Disorder Utilizing Advanced Machine Learning Techniques,Predictive Modelling of Bipolar Disorder Utilizing Advanced Machine Learning Techniques,2023 2nd International Conference on Futuristic Technologies Incoft 2023,,,1-6,2-s2.0-85187323763,2023-01-01,2023,10.1109/INCOFT60753.2023.10425438,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85187323763,,,,,YES,
10,Soumya C S,Chaturvedi A.,Analyzing the Performance of Novel Activation Functions on Deep Learning Architectures,Analyzing the Performance of Novel Activation Functions on Deep Learning Architectures,Lecture Notes in Electrical Engineering,928,,903-915,2-s2.0-85145006229,2023-01-01,2023,10.1007/978-981-19-5482-5_76,Springer Science and Business Media Deutschland GmbH,N/A,N/A,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85145006229,,,,,YES,
