sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.A Parkavi,Evangeline D.,Crowd Behaviour Analysis for Enhanced Event Safety and Management,Crowd Behaviour Analysis for Enhanced Event Safety and Management,International Journal of Image Graphics and Signal Processing,18,2,137-150,2-s2.0-105035337900,2026-04-01,2026,10.5815/ijigsp.2026.02.09,Modern Education and Computer Science Press,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105035337900,,,,,YES,
2,Dr.A Parkavi,Nikith J.,An Integrated Smart Traffic and Emergency Communication System for Ambulance and Hospitals Using Deep Learning,An Integrated Smart Traffic and Emergency Communication System for Ambulance and Hospitals Using Deep Learning,2026 9th International Conference on Intelligent Computing and Control Systems Iciccs 2026,,,1035-1042,2-s2.0-105040988914,2026-01-01,2026,10.1109/ICICCS67901.2026.11502781,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105040988914,,,,,YES,
3,Dr.A Parkavi,Parkavi A.,Student Performance Prediction Based on Academic and Engagement Metrics Using Data Mining Techniques,Student Performance Prediction Based on Academic and Engagement Metrics Using Data Mining Techniques,Lecture Notes in Networks and Systems,1477 LNNS,,375-386,2-s2.0-105020718550,2026-01-01,2026,10.1007/978-981-96-8639-1_31,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105020718550,,,,,YES,
4,Dr.A Parkavi,Parkavi A.,Lecture Stream: An Intelligent Lecture Summarization System,Lecture Stream: An Intelligent Lecture Summarization System,Lecture Notes in Networks and Systems,1478 LNNS,,305-317,2-s2.0-105027933888,2026-01-01,2026,10.1007/978-981-95-1320-8_28,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105027933888,,,,,YES,
5,Dr.A Parkavi,Parkavi A.,Voice-Enabled AI System for Baby/Toddler Engagement,Voice-Enabled AI System for Baby/Toddler Engagement,Lecture Notes in Networks and Systems,1737 LNNS,,163-170,2-s2.0-105028280104,2026-01-01,2026,10.1007/978-981-95-5082-1_16,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105028280104,,,,,YES,
6,Dr.A Parkavi,Parkavi A.,Air quality and dust level monitoring systems in hospitals using IoT,Air quality and dust level monitoring systems in hospitals using IoT,Discover Internet of Things,5,1,23,2-s2.0-105000070641,2025-12-01,2025,10.1007/s43926-025-00120-w,Springer Nature,N/A,Q1,15,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105000070641,,,,,YES,
7,Dr.A Parkavi,Subramanya S.G.,Grape Leaf Disease Detection Using VitiNet-X: A Novel Deep Learning Model with Dual Attention and Multi-Scale Feature Fusion,Grape Leaf Disease Detection Using VitiNet-X: A Novel Deep Learning Model with Dual Attention and Multi-Scale Feature Fusion,International Journal of Intelligent Engineering and Systems,18,10,574-588,2-s2.0-105019570060,2025-11-30,2025,10.22266/ijies2025.1130.37,Intelligent Network and Systems Society,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105019570060,,,,,YES,
8,Dr.A Parkavi,Prashanth Reddy C.,"Personalized Adaptive Learning Pathway System Using Reinforcement Learning, Knowledge Graphs, and Rule-Based Explainability","Personalized Adaptive Learning Pathway System Using Reinforcement Learning, Knowledge Graphs, and Rule-Based Explainability",Proceedings of 5th International Conference on Pervasive Computing and Social Networking Icpcsn 2025,,,857-865,2-s2.0-105010191665,2025-01-01,2025,10.1109/ICPCSN65854.2025.11034934,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105010191665,,,,,YES,
9,Dr.A Parkavi,Subramanya S.G.,Performance Evaluation of EfficientNet Models in Grape Leaf Disease Classification,Performance Evaluation of EfficientNet Models in Grape Leaf Disease Classification,International Conference on Intelligent Systems and Computational Networks Iciscn 2025,,,1-6,2-s2.0-105002690295,2025-01-01,2025,10.1109/ICISCN64258.2025.10934407,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105002690295,,,,,YES,
10,Dr.A Parkavi,Nadaf A.S.,Analysis of Lesson Plans and Assessment Results to Enhance Teaching and Learning Strategies,Analysis of Lesson Plans and Assessment Results to Enhance Teaching and Learning Strategies,Proceedings of 5th International Conference on Pervasive Computing and Social Networking Icpcsn 2025,,,931-934,2-s2.0-105010202434,2025-01-01,2025,10.1109/ICPCSN65854.2025.11034896,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105010202434,,,,,YES,
11,Dr.A Parkavi,Turmandi S.,Automated Multi-Bin Waste Segregation Device with Image Recognition and Secure Blockchain Data Logging,Automated Multi-Bin Waste Segregation Device with Image Recognition and Secure Blockchain Data Logging,Conference Proceedings 2025 IEEE 4th International Conference on Data Decision and Systems Icdds 2025,,,236-238,2-s2.0-105033355309,2025-01-01,2025,10.1109/ICDDS67737.2025.11344697,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105033355309,,,,,YES,
12,Dr.A Parkavi,Parkavi P.,OFFENSIVE AND DEFENSIVE ARTIFICIAL INTELLIGENCE IN CYBERSPACE,OFFENSIVE AND DEFENSIVE ARTIFICIAL INTELLIGENCE IN CYBERSPACE,Attacks on Artificial Intelligence the New Facets of Cyber Ecospace,,,29-50,2-s2.0-105018258524,2025-01-01,2025,SCOPUS_ID:105018258524,Apple Academic Press,N/A,N/A,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105018258524,,,,,YES,
13,Dr.A Parkavi,Pallavi T.P.,Advanced Sentiment Analysis and Topic Extraction Annotation Framework for YouTube Comments,Advanced Sentiment Analysis and Topic Extraction Annotation Framework for YouTube Comments,Proceedings of 5th International Conference on Pervasive Computing and Social Networking Icpcsn 2025,,,1395-1400,2-s2.0-105010191671,2025-01-01,2025,10.1109/ICPCSN65854.2025.11036026,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105010191671,,,,,YES,
