sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.J Geetha,Prasad C.,An ASR Transformer-Based Model for Kannada Speech-to-Text Transcription,An ASR Transformer-Based Model for Kannada Speech-to-Text Transcription,Journal of Artificial Intelligence and Technology,6,,257-269,2-s2.0-105033733613,2026-03-18,2026,10.37965/jait.2026.0935,Intelligence Science and Technology Press Inc.,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105033733613,,,,,YES,
2,Dr.J Geetha,Prasad C.,A pyDAOS Approach for Enabling Efficient Data Handling in DAOS,A pyDAOS Approach for Enabling Efficient Data Handling in DAOS,Procedia Computer Science,252,,922-933,S1877050925000535,2025-01-01,2025,10.1016/j.procs.2025.01.053,Elsevier B.V.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85219199518,,,,,YES,
3,Dr.J Geetha,Geetha J.,Real Time Network Intrusion Detection Using Pyspark and Machine Learning,Real Time Network Intrusion Detection Using Pyspark and Machine Learning,2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions Csitss 2025,,,1-5,2-s2.0-105031394291,2025-01-01,2025,10.1109/CSITSS67709.2025.11294450,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105031394291,,,,,YES,
4,Dr.J Geetha,Geetha J.,Design of Node Level Load Balancing in Hierarchical Fog Structure,Design of Node Level Load Balancing in Hierarchical Fog Structure,International Journal of Computing and Digital Systems,16,1,597-607,2-s2.0-85200969865,2024-07-01,2024,10.12785/ijcds/160145,University of Bahrain,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85200969865,,,,,YES,
5,Dr.J Geetha,Sasidaran K.,Multimodal Hate Speech Detection using Fine-Tuned Llama 2 Model,Multimodal Hate Speech Detection using Fine-Tuned Llama 2 Model,International Conference on Intelligent Algorithms for Computational Intelligence Systems Iacis 2024,,,1-6,2-s2.0-85208795803,2024-01-01,2024,10.1109/IACIS61494.2024.10722018,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,4,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85208795803,,,,,YES,
6,Dr.J Geetha,Simran T.,Enhancing Graph Database Interaction through Generative AI-Driven Natural Language Interface for Financial Fraud Detection,Enhancing Graph Database Interaction through Generative AI-Driven Natural Language Interface for Financial Fraud Detection,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,,,1-8,2-s2.0-85211129633,2024-01-01,2024,10.1109/ICCCNT61001.2024.10725408,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85211129633,,,,,YES,
7,Dr.J Geetha,Hosmani B.,Federated Learning-Based Techniques for COVID-19 Detection—A Systematic Review,Federated Learning-Based Techniques for COVID-19 Detection—A Systematic Review,Lecture Notes in Networks and Systems,789 LNNS,,621-633,2-s2.0-85178608808,2024-01-01,2024,10.1007/978-981-99-6586-1_42,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85178608808,,,,,YES,
8,Dr.J Geetha,Amrutha L.,Enhancing Deployment and Performance Measurement of Serverless Cloud Microservices with Warm Start,Enhancing Deployment and Performance Measurement of Serverless Cloud Microservices with Warm Start,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,,,1-7,2-s2.0-85213060680,2024-01-01,2024,10.1109/ICCCNT61001.2024.10725992,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85213060680,,,,,YES,
9,Dr.J Geetha,Deena D.,Intelligent Conversational AI for Microsoft Teams with Actionable Insights,Intelligent Conversational AI for Microsoft Teams with Actionable Insights,8th IEEE International Conference on Computational System and Information Technology for Sustainable Solutions Csitss 2024,,,1-5,2-s2.0-85216927839,2024-01-01,2024,10.1109/CSITSS64042.2024.10817069,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85216927839,,,,,YES,
10,Dr.J Geetha,Meena N.,A Comparative Study of Approaches to Short Text Document Clustering,A Comparative Study of Approaches to Short Text Document Clustering,Lecture Notes in Networks and Systems,873,,751-758,2-s2.0-85195313304,2024-01-01,2024,10.1007/978-981-99-9442-7_64,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85195313304,,,,,YES,
11,Dr.J Geetha,Geetha J.,Lightweight Cloud-Based Solution for Digital Education and Assessment,Lightweight Cloud-Based Solution for Digital Education and Assessment,Science and Technology Libraries,43,3,274-286,2-s2.0-85169790380,2024-01-01,2024,10.1080/0194262X.2023.2247460,Routledge,N/A,Q1,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85169790380,,,,,YES,
12,Dr.J Geetha,Bhat M.Q.,Interpreting Fake Reviews Using Machine Learning and Deep Learning,Interpreting Fake Reviews Using Machine Learning and Deep Learning,Lecture Notes in Networks and Systems,833,,277-286,2-s2.0-85187639670,2024-01-01,2024,10.1007/978-981-99-8346-9_24,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85187639670,,,,,YES,
