sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.Seema S,Kamath A.,Smart Multimodal System for Early Diagnosis of Thyroid Dysfunction Using IoT Sensors and Deep Neural Networks,Smart Multimodal System for Early Diagnosis of Thyroid Dysfunction Using IoT Sensors and Deep Neural Networks,SN Computer Science,7,5,378,2-s2.0-105036336621,2026-06-01,2026,10.1007/s42979-026-04928-3,Springer,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105036336621,,,,,YES,
2,Dr.Seema S,Nayak D.D.,Autism spectrum disorder classification using machine learning with factor analysis,Autism spectrum disorder classification using machine learning with factor analysis,Iaes International Journal of Artificial Intelligence,14,3,2185-2195,2-s2.0-105008116703,2025-06-01,2025,10.11591/ijai.v14.i3.pp2185-2195,Institute of Advanced Engineering and Science,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105008116703,,,,,YES,
3,Dr.Seema S,Disha D.N.,Improving Detection of Autism Spectrum Disorder (ASD) by Using mRMR Feature Selection and Genetic Optimization Based CES Model for Computing Autism Severity Score,Improving Detection of Autism Spectrum Disorder (ASD) by Using mRMR Feature Selection and Genetic Optimization Based CES Model for Computing Autism Severity Score,SN Computer Science,6,4,309,2-s2.0-105000557847,2025-04-01,2025,10.1007/s42979-025-03839-z,Springer,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105000557847,,,,,YES,
4,Dr.Seema S,Anusha M.,Deep UNet-based Time-Series Image Segmentation and Regional Classification for Flood Progression Analysis,Deep UNet-based Time-Series Image Segmentation and Regional Classification for Flood Progression Analysis,Proceedings of 3rd International Conference on Sustainable Computing and Data Communication Systems Icscds 2025,,,1644-1651,2-s2.0-105018457203,2025-01-01,2025,10.1109/ICSCDS65426.2025.11166797,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105018457203,,,,,YES,
5,Dr.Seema S,Hegde R.,Enhancing Emotion Recognition using Advanced Speech Processing Techniques,Enhancing Emotion Recognition using Advanced Speech Processing Techniques,Proceedings of the International Conference on Multi Agent Systems for Collaborative Intelligence Icmsci 2025,,,1565-1571,2-s2.0-105000541800,2025-01-01,2025,10.1109/ICMSCI62561.2025.10894162,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105000541800,,,,,YES,
6,Dr.Seema S,Hegde R.,Automatic Text Summarization Using Graph-Based Recurrent Attention Model (GBRAM),Automatic Text Summarization Using Graph-Based Recurrent Attention Model (GBRAM),Lecture Notes in Electrical Engineering,1280,,363-370,2-s2.0-105000789918,2025-01-01,2025,10.1007/978-981-97-9045-6_30,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105000789918,,,,,YES,
7,Dr.Seema S,Seema S.,Design of the AI Application for the Detection of Autism Spectrum Disorder Using Deep Learning,Design of the AI Application for the Detection of Autism Spectrum Disorder Using Deep Learning,Lecture Notes in Networks and Systems,1241,,577-586,2-s2.0-105002396093,2025-01-01,2025,10.1007/978-981-96-1267-3_47,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105002396093,,,,,YES,
8,Dr.Seema S,Kamath A.,IoT-Powered Thyroid Disease Diagnosis and Hyperthyroidism Monitoring,IoT-Powered Thyroid Disease Diagnosis and Hyperthyroidism Monitoring,Proceedings of the 1st IEEE International Conference on Advances in Next Gen Computer Science Icancs 2025,,,1-7,2-s2.0-105035589208,2025-01-01,2025,10.1109/ICANCS65819.2025.11378055,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105035589208,,,,,YES,
9,Dr.Seema S,Sowmya B.J.,Generative adversarial networks with attentional multimodal for human face synthesis,Generative adversarial networks with attentional multimodal for human face synthesis,Indonesian Journal of Electrical Engineering and Computer Science,33,2,1205-1215,2-s2.0-85184568167,2024-02-01,2024,10.11591/ijeecs.v33.i2.pp1205-1215,Institute of Advanced Engineering and Science,N/A,Q1,5,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85184568167,,,,,YES,
10,Dr.Seema S,Mundada M.R.,DeepDerm: Elevating Precision in Dermatological Diagnosis with Enhanced CNN,DeepDerm: Elevating Precision in Dermatological Diagnosis with Enhanced CNN,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,,,1-7,2-s2.0-85211121871,2024-01-01,2024,10.1109/ICCCNT61001.2024.10724699,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85211121871,,,,,YES,
