sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.Shilpa S Chaudhari,Shankar S.P.,Intelligent techniques for predictive analytics in Agile software development,Intelligent techniques for predictive analytics in Agile software development,Scientific Reports,16,1,11195,2-s2.0-105035013336,2026-12-01,2026,10.1038/s41598-026-41102-4,Nature Research,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105035013336,,,,,YES,
2,Dr.Shilpa S Chaudhari,Aparna R.,Containerized image deduplication on edge using BLOCKCHAIN for optimized cloud storage,Containerized image deduplication on edge using BLOCKCHAIN for optimized cloud storage,Multimedia Tools and Applications,85,4,350,2-s2.0-105036522277,2026-04-01,2026,10.1007/s11042-026-21171-3,Springer,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105036522277,,,,,YES,
3,Dr.Shilpa S Chaudhari,Bhavana D.,Ensemble Learning for Resource Allocation in 5G Networks using MATLAB Simulation Environment,Ensemble Learning for Resource Allocation in 5G Networks using MATLAB Simulation Environment,Proceedings 3rd International Conference on Networking and Communications Icnwc 2026,,,1-7,2-s2.0-105041881140,2026-01-01,2026,10.1109/ICNWC68145.2026.11518425,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105041881140,,,,,YES,
4,Dr.Shilpa S Chaudhari,Chaudhari S.S.,Video-Based Federated Traffic Anomaly Detection for Rule-Aware Urban Intersection Surveillance,Video-Based Federated Traffic Anomaly Detection for Rule-Aware Urban Intersection Surveillance,Proceedings 3rd International Conference on Networking and Communications Icnwc 2026,,,1-8,2-s2.0-105041879774,2026-01-01,2026,10.1109/ICNWC68145.2026.11518182,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105041879774,,,,,YES,
5,Dr.Shilpa S Chaudhari,Priya K.,Federated Learning for DDoS Attack Analysis in Network Traffic Using Attention-Enhanced BiLSTM with Multithreaded Approach,Federated Learning for DDoS Attack Analysis in Network Traffic Using Attention-Enhanced BiLSTM with Multithreaded Approach,Lecture Notes in Networks and Systems,1721 LNNS,,284-295,2-s2.0-105027333182,2026-01-01,2026,10.1007/978-3-032-10753-4_24,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105027333182,,,,,YES,
6,Dr.Shilpa S Chaudhari,Chaudhari S.,Personalizing nutrition and recipe recommendation using attention mechanism with an ensemble model,Personalizing nutrition and recipe recommendation using attention mechanism with an ensemble model,Clinical Ehealth,8,,66-77,S2588914125000127,2025-12-01,2025,10.1016/j.ceh.2025.03.002,KeAi Communications Co.,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105002331819,,,,,YES,
7,Dr.Shilpa S Chaudhari,Aparna R.,Efficient image deduplication using HashMap: a scalable approach,Efficient image deduplication using HashMap: a scalable approach,Proceedings of the Indian National Science Academy,91,4,1625-1637,2-s2.0-105022010840,2025-12-01,2025,10.1007/s43538-025-00594-w,Springer Nature,N/A,Q1,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105022010840,,,,,YES,
8,Dr.Shilpa S Chaudhari,Chaudhari S.,Video Deduplication Using Clustering and Hashing-Based Layered Coarse Resolution Approach for Cloud Storage,Video Deduplication Using Clustering and Hashing-Based Layered Coarse Resolution Approach for Cloud Storage,Journal of Artificial Intelligence and Technology,5,,453-465,2-s2.0-105024492567,2025-11-20,2025,10.37965/jait.2025.0799,Intelligence Science and Technology Press Inc.,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105024492567,,,,,YES,
9,Dr.Shilpa S Chaudhari,Ramalingiah A.,MULTI-LEVEL VIDEO ANALYTICS FOR EFFICIENT DEDUPLICATION IN CLOUD STORAGE,MULTI-LEVEL VIDEO ANALYTICS FOR EFFICIENT DEDUPLICATION IN CLOUD STORAGE,Tpm Testing Psychometrics Methodology in Applied Psychology,32,S4,814-824,2-s2.0-105014426978,2025-01-01,2025,SCOPUS_ID:105014426978,Cises srl,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105014426978,,,,,YES,
10,Dr.Shilpa S Chaudhari,Tolanur J.,Federated Deep Learning-Based Security Model Against DDoS Attack for Cloud Environment,Federated Deep Learning-Based Security Model Against DDoS Attack for Cloud Environment,Journal of Artificial Intelligence and Technology,5,,430-440,2-s2.0-105021213621,2025-01-01,2025,10.37965/jait.2025.0798,Intelligence Science and Technology Press Inc.,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105021213621,,,,,YES,
11,Dr.Shilpa S Chaudhari,Subbulakshmi V.,Federated Learning-Based Travel Time Prediction for Adaptive Congestion Control Using 5G-Assisted Roundabout Traffic Networks,Federated Learning-Based Travel Time Prediction for Adaptive Congestion Control Using 5G-Assisted Roundabout Traffic Networks,IEEE Access,13,,156389-156406,2-s2.0-105015192849,2025-01-01,2025,10.1109/ACCESS.2025.3605987,Institute of Electrical and Electronics Engineers Inc.,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105015192849,,,,,YES,
12,Dr.Shilpa S Chaudhari,Chaudhari S.,Multi-Source Data-Driven Intelligent Model for Credit Assessment in Agricultural Financing,Multi-Source Data-Driven Intelligent Model for Credit Assessment in Agricultural Financing,Proceedings 3rd International Conference on Self Sustainable Artificial Intelligence Systems Icssas 2025,,,1872-1877,2-s2.0-105012820945,2025-01-01,2025,10.1109/ICSSAS66150.2025.11080704,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105012820945,,,,,YES,
13,Dr.Shilpa S Chaudhari,Chuadhari S.,Bio-inspired based Random Forest Approach for Depth-based Routing in Underwater Sensor Networks,Bio-inspired based Random Forest Approach for Depth-based Routing in Underwater Sensor Networks,Proceedings of 8th International Conference on Computing Methodologies and Communication Iccmc 2025,,,430-436,2-s2.0-105016907464,2025-01-01,2025,10.1109/ICCMC65190.2025.11140673,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105016907464,,,,,YES,
14,Dr.Shilpa S Chaudhari,Cahudhari S.,AI-Driven Credit Scoring Model in Smarter Lending Decisions for Farmers,AI-Driven Credit Scoring Model in Smarter Lending Decisions for Farmers,Proceedings of 8th International Conference on Computing Methodologies and Communication Iccmc 2025,,,1429-1433,2-s2.0-105016907027,2025-01-01,2025,10.1109/ICCMC65190.2025.11139936,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105016907027,,,,,YES,
15,Dr.Shilpa S Chaudhari,Chaudhari S.,Hybrid Machine Learning Approach using Wingbeat Frequencies for Mosquito Species Classification,Hybrid Machine Learning Approach using Wingbeat Frequencies for Mosquito Species Classification,2025 IEEE 14th International Conference on Communication Systems and Network Technologies Csnt 2025,,,202-207,2-s2.0-105004554190,2025-01-01,2025,10.1109/CSNT64827.2025.10968635,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105004554190,,,,,YES,
16,Dr.Shilpa S Chaudhari,Subbulakshmi V.,Federated Deep Learning for Tailgating Behaviour Detection in Intelligent Transportation Systems,Federated Deep Learning for Tailgating Behaviour Detection in Intelligent Transportation Systems,Journal of Studies in Science and Engineering,5,2,159-186,2-s2.0-105033640404,2025-01-01,2025,10.53898/JOSSE2025539,EngiScience Publisher,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105033640404,,,,,YES,
17,Dr.Shilpa S Chaudhari,Chaudhari S.,Cardiovascular Distress Prediction System using Multimodal Signal Integration,Cardiovascular Distress Prediction System using Multimodal Signal Integration,2025 3rd International Conference on Sustainable Computing and Smart Systems Icscss 2025,,,528-532,2-s2.0-105041015256,2025-01-01,2025,10.1109/ICSCSS64956.2025.11500754,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105041015256,,,,,YES,
