,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Department of Computer Science and Engineering,,,,,,,,,
,,,,,,,,,
Faculty List,,,,,,,,,
SI. No.,Name of Faculty ,Designation,Scopus ID,Google scholar id ,,,,,
1,Dr.R China Appala Naidu ,Professor &  Head ,https://www.scopus.com/authid/detail.uri?authorId=57192153880,https://scholar.google.com/citations?user=R9mwtaUAAAAJ&hl=en,,,,,
2,Dr.Seema S,Professor,https://www.scopus.com/authid/detail.uri?authorId=57188643917,https://scholar.google.com/citations?user=1rg4Qg4AAAAJ&hl=en,,,,,
3,Dr.Monica R Mundada ,Professor,https://www.scopus.com/authid/detail.uri?authorId=55532875100,https://scholar.google.com/citations?user=_gNJRewAAAAJ&hl=en,,,,,
4,Prof. Nagabhushan A M,Professor,,,,,,,
5,Dr.Shilpa S Chaudhari,Professor,https://www.scopus.com/authid/detail.uri?authorId=56177436200,https://scholar.google.com/citations?user=daxojLsAAAAJ&hl=en,,,,,
6,Dr.T.N R. Kumar,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=57193570853,,,,,,
7,Dr.Rajarajeswari S,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=57216700909,https://scholar.google.com/citations?user=S0rWhnMAAAAJ&hl=en,,,,,
8,Dr.J.Sangeetha,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=59125848800,https://scholar.google.com/citations?user=FZ0848wAAAAJ&hl=en,,,,,
9,Dr.A Parkavi,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=56040990300,https://scholar.google.com/citations?user=uOwul8kAAAAJ&hl=en,,,,,
10,Dr.J Geetha,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=55317720400,https://scholar.google.com/citations?user=uEh6zRUAAAAJ&hl=en,,,,,
11,Dr.Dayananda R B,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=57211906753,https://scholar.google.com/citations?user=i6I2-GQAAAAJ&hl=en,,,,,
12,Dr.Sangeetha V,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=57189683778,https://scholar.google.com/citations?user=qX-0prYAAAAJ&hl=en,,,,,
13,Dr.Ganeshayya I Shidaganti,Associate Professor,https://www.scopus.com/authid/detail.uri?authorId=55995597600,https://scholar.google.com/citations?user=U4Hi0MkAAAAJ&hl=en,,,,,
14,Veena GS ,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57198996526,https://scholar.google.com/citations?user=iZpKmYEAAAAJ&hl=en,,,,,
15,Dr.Mallegowda M,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57210205641,https://scholar.google.com/citations?user=geX_RLEAAAAJ&hl=en,,,,,
16,Chandrika Prasad,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57216439920,https://scholar.google.com/citations?user=QkJ9Kh0AAAAJ&hl=en,,,,,
17,Pradeep kumar D ,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57192437204,https://scholar.google.com/citations?user=CF_Afu8AAAAJ&hl=en,,,,,
18,Darshana A Naik,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57208920461,https://scholar.google.com/citations?user=m6U3HGQAAAAJ&hl=en,,,,,
19,Jamuna S Murthy ,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=59313457800,https://scholar.google.com/citations?user=DIJx__kAAAAJ&hl=en,,,,,
20,Dr.Sushma B ,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57224575855,https://scholar.google.com/citations?user=CVd5LiYAAAAJ&hl=en,,,,,
21,Nandini S B,Assistant Professor,,,,,,,
22,Chetan D S,Assistant Professor,,,,,,,802
23,Soumya C S,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57384843400,https://scholar.google.com/citations?user=vTUAWAsAAAAJ&hl=en,,,,,
24,Akshata S Bhayyar,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=57542272700,https://scholar.google.com/citations?user=GeaVQ2wAAAAJ&hl=en,,,,,
25,Vishwachetan D,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=58706686500,https://scholar.google.com/citations?user=sxLUjPoAAAAJ&hl=en,,,,,
26,Akshatha Kamath ,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=58983111900,https://scholar.google.com/citations?user=_r3-R54AAAAJ&hl=en,,,,,
27,Mamatha A,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=58819213200,https://scholar.google.com/citations?user=adfesocAAAAJ&hl=en,,,,,
28,Pallavi N,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=58976488300,https://scholar.google.com/citations?user=nFIWEyQAAAAJ&hl=en,,,,,
29,Dr.Manjula Chougala,Assistant Professor,,,,,,,
30,Priya K,Assistant Professor,,,,,,,
31,Uzma Sulthana,Assistant Professor,https://www.scopus.com/authid/detail.uri?authorId=59187785900,https://scholar.google.com/citations?user=lWIfKEcAAAAJ&hl=en,,,,,
32,Brunda G,Assistant Professor,,,,,,,
