sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.Dayananda R B,Pavithra J.,Multimodal Sensor-Based Detection of Body-Focused Repetitive Behaviors Using CNN-LSTM Framework,Multimodal Sensor-Based Detection of Body-Focused Repetitive Behaviors Using CNN-LSTM Framework,Ickecs 2026 Proceedings of 4th IEEE International Conference on Knowledge Engineering and Communication Systems,,,1-9,2-s2.0-105041845199,2026-01-01,2026,10.1109/ICKECS70176.2026.11528078,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105041845199,,,,,YES,
2,Dr.Dayananda R B,Rao M.N.,CROSS-LAYER ATTENTION ADAPTATION FOR REAL-TIME NEURAL INFERENCE IN EMBEDDED DEVICES,CROSS-LAYER ATTENTION ADAPTATION FOR REAL-TIME NEURAL INFERENCE IN EMBEDDED DEVICES,Journal of Theoretical and Applied Information Technology,104,8,372-385,2-s2.0-105039840053,2026-01-01,2026,SCOPUS_ID:105039840053,Little Lion Scientific,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105039840053,,,,,YES,
3,Dr.Dayananda R B,Hombal U.,Comparative research on block design-based protocol and blowfish for secured key generation and data sharing on cloud,Comparative research on block design-based protocol and blowfish for secured key generation and data sharing on cloud,Soft Computing,28,23,13701-13713,2-s2.0-85197673745,2024-12-01,2024,10.1007/s00500-024-09749-1,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85197673745,,,,,YES,
4,Dr.Dayananda R B,Natikar K.,Addressing Crop Damage from Animals with Faster R-CNN and YOLO Models,Addressing Crop Damage from Animals with Faster R-CNN and YOLO Models,Lecture Notes in Networks and Systems,789 LNNS,,651-666,2-s2.0-85178592960,2024-01-01,2024,10.1007/978-981-99-6586-1_44,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85178592960,,,,,YES,
5,Dr.Dayananda R B,Vinutha M.,Personalized Skincare Product Recommendation System Using Content-Based Machine Learning,Personalized Skincare Product Recommendation System Using Content-Based Machine Learning,2024 4th International Conference on Intelligent Technologies Conit 2024,,,1-6,2-s2.0-85202738968,2024-01-01,2024,10.1109/CONIT61985.2024.10626458,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,9,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85202738968,,,,,YES,
6,Dr.Dayananda R B,Hombal U.,Modified Chaotic Map Approach for Medical Record Security,Modified Chaotic Map Approach for Medical Record Security,Proceedings Icnews 2024 2nd International Conference on Networking Embedded and Wireless Systems Wireless Technology Building A Digital World,,,1-6,2-s2.0-85210425002,2024-01-01,2024,10.1109/ICNEWS60873.2024.10730948,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85210425002,,,,,YES,
7,Dr.Dayananda R B,Sontakke V.,Memory aware optimized Hadoop MapReduce model in cloud computing environment,Memory aware optimized Hadoop MapReduce model in cloud computing environment,Iaes International Journal of Artificial Intelligence,12,3,1270-1280,2-s2.0-85152959593,2023-09-01,2023,10.11591/ijai.v12.i3.pp1270-1280,Institute of Advanced Engineering and Science,N/A,Q1,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85152959593,,,,,YES,
8,Dr.Dayananda R B,Swetha P.,A customer churn prediction model in telecom industry using Improved_XGBoost,A customer churn prediction model in telecom industry using Improved_XGBoost,International Journal of Cloud Computing,12,2-4,277-294,2-s2.0-85162740432,2023-01-01,2023,10.1504/IJCC.2023.130903,Inderscience Publishers,N/A,Q1,4,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85162740432,,,,,YES,
9,Dr.Dayananda R B,Sunil Gowda S.,Detection And Prevention of ARP Attack in Software Defined Networks,Detection And Prevention of ARP Attack in Software Defined Networks,2023 14th International Conference on Computing Communication and Networking Technologies Icccnt 2023,,,1-5,2-s2.0-85179848157,2023-01-01,2023,10.1109/ICCCNT56998.2023.10307123,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85179848157,,,,,YES,
10,Dr.Dayananda R B,Hombal U.,A Review on Security and Privacy Preserving Mechanisms of Electronic Health Records in Cloud,A Review on Security and Privacy Preserving Mechanisms of Electronic Health Records in Cloud,2021 Asian Conference on Innovation in Technology Asiancon 2021,,,1-4,2-s2.0-85117563273,2021-08-27,2021,10.1109/ASIANCON51346.2021.9544547,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,7,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85117563273,,,,,YES,
