sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.J.Sangeetha,Yashaswini K.S.,Location Tracking and Self Defence of the Women/Elderly Person using Smart Safety Device without Internet Connectivity,Location Tracking and Self Defence of the Women/Elderly Person using Smart Safety Device without Internet Connectivity,Procedia Computer Science,259,,836-843,S1877050925011329,2025-01-01,2025,10.1016/j.procs.2025.04.035,Elsevier B.V.,N/A,N/A,2,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105006639271,,,,,YES,
2,Dr.J.Sangeetha,Lalitha Chinmayee H.M.,2TierEdge-Defense: a cascaded defense framework with rule-based LSTM for NCIFA in NDN,2TierEdge-Defense: a cascaded defense framework with rule-based LSTM for NCIFA in NDN,Journal of Information and Telecommunication,9,1,44-72,2-s2.0-86000429311,2025-01-01,2025,10.1080/24751839.2024.2376299,Taylor and Francis Ltd.,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/86000429311,,,,,YES,
3,Dr.J.Sangeetha,Sangeetha J.,Cloud-Based Tracker for Prioritizing Rescue Operations Using IoT-Based Drones with Advanced Thermal-Imaging Using YOLO V3,Cloud-Based Tracker for Prioritizing Rescue Operations Using IoT-Based Drones with Advanced Thermal-Imaging Using YOLO V3,Lecture Notes in Networks and Systems,1096 LNNS,,247-260,2-s2.0-86000009484,2025-01-01,2025,10.1007/978-981-97-7178-3_22,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/86000009484,,,,,YES,
4,Dr.J.Sangeetha,Gaonkar S.S.,A Review: Food Recognition and nutritional value Estimation Using Deep Neural Network,A Review: Food Recognition and nutritional value Estimation Using Deep Neural Network,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,,,1-7,2-s2.0-85212856360,2024-01-01,2024,10.1109/ICCCNT61001.2024.10725632,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85212856360,,,,,YES,
5,Dr.J.Sangeetha,Advith N.N.,A Comparative Analysis of Eye Movement and Gaze Tracking Algorithms,A Comparative Analysis of Eye Movement and Gaze Tracking Algorithms,Smart Innovation Systems and Technologies,376,,285-295,2-s2.0-85187665036,2024-01-01,2024,10.1007/978-981-99-7711-6_23,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85187665036,,,,,YES,
6,Dr.J.Sangeetha,Vinod Kumar B.,A Smart IoT Device for Child’s Safety Real Time Monitoring System,A Smart IoT Device for Child’s Safety Real Time Monitoring System,International Journal of Information Engineering and Electronic Business,15,6,64-77,2-s2.0-85201957298,2023-12-01,2023,10.5815/ijieeb.2023.06.05,Modern Education and Computer Science Press,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85201957298,,,,,YES,
7,Dr.J.Sangeetha,Chandana R.,Drowsiness Detection for Automotive Drivers in Real-Time,Drowsiness Detection for Automotive Drivers in Real-Time,Lecture Notes in Networks and Systems,606,,167-189,2-s2.0-85152558194,2023-01-01,2023,10.1007/978-981-19-8563-8_17,Springer Science and Business Media Deutschland GmbH,N/A,Q1,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85152558194,,,,,YES,
8,Dr.J.Sangeetha,Vinod Kumar B.,A Current Survey Trends on Child Safety Devices Using IoT,A Current Survey Trends on Child Safety Devices Using IoT,Smart Innovation Systems and Technologies,363,,81-90,2-s2.0-85174447938,2023-01-01,2023,10.1007/978-981-99-4717-1_8,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85174447938,,,,,YES,
9,Dr.J.Sangeetha,Sowmyashree P.,"Driver Drowsiness Detection System Based on Behavioral Method, Biological Method and Vehicular Feature-Based Method—A Review","Driver Drowsiness Detection System Based on Behavioral Method, Biological Method and Vehicular Feature-Based Method—A Review",Smart Innovation Systems and Technologies,363,,125-134,2-s2.0-85174439090,2023-01-01,2023,10.1007/978-981-99-4717-1_12,Springer Science and Business Media Deutschland GmbH,N/A,Q1,3,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85174439090,,,,,YES,
10,Dr.J.Sangeetha,Sowmyashree P.,Multistage End-to-End Driver Drowsiness Alerting System,Multistage End-to-End Driver Drowsiness Alerting System,International Journal of Advanced Computer Science and Applications,14,4,464-473,2-s2.0-85159006709,2023-01-01,2023,10.14569/IJACSA.2023.0140452,Science and Information Organization,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85159006709,,,,,YES,
11,Dr.J.Sangeetha,Kumaran S.,IoT-based Autonomous Search and Rescue Drone for Precision Firefighting and Disaster Management,IoT-based Autonomous Search and Rescue Drone for Precision Firefighting and Disaster Management,International Journal of Advanced Computer Science and Applications,14,11,438-447,2-s2.0-85179419811,2023-01-01,2023,10.14569/IJACSA.2023.0141145,Science and Information Organization,N/A,Q1,10,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85179419811,,,,,YES,
12,Dr.J.Sangeetha,Srikrishna J.Y.,Smart Farming Using IoT Sensors,Smart Farming Using IoT Sensors,Lecture Notes in Networks and Systems,370,,259-271,2-s2.0-85131209393,2022-01-01,2022,10.1007/978-981-16-8664-1_23,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85131209393,,,,,YES,
13,Dr.J.Sangeetha,Sultana S.S.,Securing the Smart Devices in Home Automation System,Securing the Smart Devices in Home Automation System,Lecture Notes in Networks and Systems,370,,273-285,2-s2.0-85131187069,2022-01-01,2022,10.1007/978-981-16-8664-1_24,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85131187069,,,,,YES,
14,Dr.J.Sangeetha,Sultana S.S.,Internet of Things: Security Mechanisms,Internet of Things: Security Mechanisms,Lecture Notes in Electrical Engineering,844,,581-595,2-s2.0-85127166019,2022-01-01,2022,10.1007/978-981-16-8862-1_38,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85127166019,,,,,YES,
15,Dr.J.Sangeetha,Rajesh A.A.,Fast Food Image Recognition using Transfer Learning,Fast Food Image Recognition using Transfer Learning,2022 4th International Conference on Cognitive Computing and Information Processing Ccip 2022,,,1-10,2-s2.0-85152226295,2022-01-01,2022,10.1109/CCIP57447.2022.10058675,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85152226295,,,,,YES,
16,Dr.J.Sangeetha,Rosemary Binoy M.,Machine Learning: A Study and Modelling of Different Techniques,Machine Learning: A Study and Modelling of Different Techniques,Lecture Notes in Electrical Engineering,844,,563-579,2-s2.0-85127106488,2022-01-01,2022,10.1007/978-981-16-8862-1_37,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85127106488,,,,,YES,
17,Dr.J.Sangeetha,Sarvesh S.H.,Quality and Dimensional Analysis of 3D Printed Models Using Machine Vision,Quality and Dimensional Analysis of 3D Printed Models Using Machine Vision,Smart Innovation Systems and Technologies,289,,357-374,2-s2.0-85132008393,2022-01-01,2022,10.1007/978-981-19-0011-2_33,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85132008393,,,,,YES,
18,Dr.J.Sangeetha,Poojari N.N.,Automatic Student Attendance and Activeness Monitoring System,Automatic Student Attendance and Activeness Monitoring System,Smart Innovation Systems and Technologies,289,,405-415,2-s2.0-85132044872,2022-01-01,2022,10.1007/978-981-19-0011-2_36,Springer Science and Business Media Deutschland GmbH,N/A,Q1,1,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85132044872,,,,,YES,
19,Dr.J.Sangeetha,Srinivas A.,Smart Irrigation and Precision Farming of Paddy Field using Unmanned Ground Vehicle and Internet of Things System,Smart Irrigation and Precision Farming of Paddy Field using Unmanned Ground Vehicle and Internet of Things System,International Journal of Advanced Computer Science and Applications,12,12,407-414,2-s2.0-85122597882,2021-01-01,2021,10.14569/IJACSA.2021.0121254,Science and Information Organization,N/A,Q1,7,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85122597882,,,,,YES,
20,Dr.J.Sangeetha,Nagashri K.,Fake News Detection Using Passive-Aggressive Classifier and Other Machine Learning Algorithms,Fake News Detection Using Passive-Aggressive Classifier and Other Machine Learning Algorithms,Lecture Notes in Electrical Engineering,736 LNEE,,221-233,2-s2.0-85111130824,2021-01-01,2021,10.1007/978-981-33-6987-0_19,Springer Science and Business Media Deutschland GmbH,N/A,Q1,14,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85111130824,,,,,YES,
21,Dr.J.Sangeetha,Ashwini S.D.,Android Malware Classification Based on Static Features of an Application,Android Malware Classification Based on Static Features of an Application,Lecture Notes in Electrical Engineering,736 LNEE,,567-581,2-s2.0-85111118890,2021-01-01,2021,10.1007/978-981-33-6987-0_45,Springer Science and Business Media Deutschland GmbH,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85111118890,,,,,YES,
22,Dr.J.Sangeetha,Sangeetha J.,Placement of relay stations in WiMAX network using glowworm swarm optimization,Placement of relay stations in WiMAX network using glowworm swarm optimization,International Journal of Applied Metaheuristic Computing,10,3,39-67,2-s2.0-85070746715,2019-07-01,2019,10.4018/IJAMC.2019070103,IGI Globalcust@igi-global.com,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85070746715,,,,,YES,
23,Dr.J.Sangeetha,Sangeetha J.,Quality of service of traffic prediction mechanism in WiMax network using RBFNN and RSM,Quality of service of traffic prediction mechanism in WiMax network using RBFNN and RSM,Advances in Intelligent Systems and Computing,467,,45-58,2-s2.0-84994087134,2017-01-01,2017,10.1007/978-981-10-1645-5_5,Springer Verlagservice@springer.de,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/84994087134,,,,,YES,
24,Dr.J.Sangeetha,Sangeetha J.,Location area planning problem in WiMAX networks using nature inspired techniques: Performance study,Location area planning problem in WiMAX networks using nature inspired techniques: Performance study,International Journal of Information and Communication Technology,11,2,222-242,2-s2.0-85029233125,2017-01-01,2017,10.1504/IJICT.2017.10007025,Inderscience Publishers,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85029233125,,,,,YES,
25,Dr.J.Sangeetha,Sangeetha J.,Location area planning problem in WiMAX networks using nature inspired techniques: Performance study,Location area planning problem in WiMAX networks using nature inspired techniques: Performance study,International Journal of Information and Communication Technology,11,2,222-242,2-s2.0-85116238691,2017-01-01,2017,10.1504/IJICT.2017.086250,Inderscience Publishers,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85116238691,,,,,YES,
26,Dr.J.Sangeetha,Shekeran S.C.,Analysis of age groups and motion speed using smart phone accelerometers,Analysis of age groups and motion speed using smart phone accelerometers,2015 International Conference on Condition Assessment Techniques in Electrical Systems Catcon 2015 Proceedings,,,189-194,2-s2.0-84966440903,2016-04-07,2016,10.1109/CATCON.2015.7449532,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/84966440903,,,,,YES,
27,Dr.J.Sangeetha,Sangeetha J.,An analysis and comparison of different routing algorithms in WiMAX networks,An analysis and comparison of different routing algorithms in WiMAX networks,Souvenir of the 2015 IEEE International Advance Computing Conference Iacc 2015,,,734-737,2-s2.0-84941978985,2015-07-10,2015,10.1109/IADCC.2015.7154804,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/84941978985,,,,,YES,
28,Dr.J.Sangeetha,Sangeetha J.,A framework for efficient placement of relay station and routing in IEEE 802.16j MMR network,A framework for efficient placement of relay station and routing in IEEE 802.16j MMR network,2014 20th Annual International Conference on Advanced Computing and Communications Adcom 2014 Proceedings,,,35-37,2-s2.0-84988288788,2014-01-01,2014,10.1109/ADCOM.2014.7103247,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/84988288788,,,,,YES,
29,Dr.J.Sangeetha,Sangeetha J.,A comparative study on WiFi and WiMAX networks,A comparative study on WiFi and WiMAX networks,2010 IEEE International Conference on Computational Intelligence and Computing Research Iccic 2010,,,836-840,2-s2.0-79951789213,2010-12-01,2010,10.1109/ICCIC.2010.5705864,IEEE,N/A,N/A,3,YES,,,https://api.elsevier.com/content/abstract/scopus_id/79951789213,,,,,YES,
