sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.Monica R Mundada,Kamath A.,Smart Multimodal System for Early Diagnosis of Thyroid Dysfunction Using IoT Sensors and Deep Neural Networks,Smart Multimodal System for Early Diagnosis of Thyroid Dysfunction Using IoT Sensors and Deep Neural Networks,SN Computer Science,7,5,378,2-s2.0-105036336621,2026-06-01,2026,10.1007/s42979-026-04928-3,Springer,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105036336621,,,,,YES,
2,Dr.Monica R Mundada,Pujar M.,Enhanced Multimodal Webpage Classification Using Deep Learning for Efficient Information Retrieval,Enhanced Multimodal Webpage Classification Using Deep Learning for Efficient Information Retrieval,Journal of Computational and Cognitive Engineering,5,2,202-212,2-s2.0-105040210242,2026-05-29,2026,10.47852/bonviewJCCE52025256,Bon View Publishing Pte Ltd,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105040210242,,,,,YES,
3,Dr.Monica R Mundada,Dhanush C.,Progressive U-NET with Soft-Gated Piecewise Polynomial Activation for Retinal Vessel Segmentation,Progressive U-NET with Soft-Gated Piecewise Polynomial Activation for Retinal Vessel Segmentation,Ickecs 2026 Proceedings of 4th IEEE International Conference on Knowledge Engineering and Communication Systems,,,1-5,2-s2.0-105041886789,2026-01-01,2026,10.1109/ICKECS70176.2026.11527561,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105041886789,,,,,YES,
4,Dr.Monica R Mundada,Kamath A.,HealthGuard: A Blockchain-Powered Structure for Safe Electronic Health Record Administration,HealthGuard: A Blockchain-Powered Structure for Safe Electronic Health Record Administration,Lecture Notes in Networks and Systems,1760 LNNS,,306-317,2-s2.0-105031754005,2026-01-01,2026,10.1007/978-3-032-13544-5_26,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105031754005,,,,,YES,
5,Dr.Monica R Mundada,Meeradevi ,NeuroAid: An AI-Driven System for Real-Time Seizure Prediction and Prevention,NeuroAid: An AI-Driven System for Real-Time Seizure Prediction and Prevention,Proceedings of International Conference on Next Gen Quantum and Advanced Computing Algorithms Security and Beyond Nqcomp 2026,,,473-478,2-s2.0-105041517752,2026-01-01,2026,10.1109/NQComp68334.2026.11497750,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105041517752,,,,,YES,
6,Dr.Monica R Mundada,Seema S.,Design of the AI Application for the Detection of Autism Spectrum Disorder Using Deep Learning,Design of the AI Application for the Detection of Autism Spectrum Disorder Using Deep Learning,Lecture Notes in Networks and Systems,1241,,577-586,2-s2.0-105002396093,2025-01-01,2025,10.1007/978-981-96-1267-3_47,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105002396093,,,,,YES,
7,Dr.Monica R Mundada,Sowmya B.J.,Novel Framework for Malicious URL Detector Using Enhanced XGBoost,Novel Framework for Malicious URL Detector Using Enhanced XGBoost,Lecture Notes in Electrical Engineering,1399 LNEE,,453-463,2-s2.0-105012432865,2025-01-01,2025,10.1007/978-981-96-4430-8_33,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105012432865,,,,,YES,
8,Dr.Monica R Mundada,Kamath A.,IoT-Powered Thyroid Disease Diagnosis and Hyperthyroidism Monitoring,IoT-Powered Thyroid Disease Diagnosis and Hyperthyroidism Monitoring,Proceedings of the 1st IEEE International Conference on Advances in Next Gen Computer Science Icancs 2025,,,1-7,2-s2.0-105035589208,2025-01-01,2025,10.1109/ICANCS65819.2025.11378055,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/105035589208,,,,,YES,
9,Dr.Monica R Mundada,Pujar M.,An Efficient Optimization of Multimodal Web Page Genre Classification Based on Objects Using LR-YoloV4 and (BM)2-CWRNN Deep Learning Techniques,An Efficient Optimization of Multimodal Web Page Genre Classification Based on Objects Using LR-YoloV4 and (BM)2-CWRNN Deep Learning Techniques,International Journal of Computing and Digital Systems,18,1,1-13,2-s2.0-105004298780,2025-01-01,2025,10.12785/ijcds/157103840,University of Bahrain,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105004298780,,,,,YES,
10,Dr.Monica R Mundada,Mundada M.R.,Skin Cancer Prediction by Incorporating Bio-inspired Optimization in Deep Neural Network,Skin Cancer Prediction by Incorporating Bio-inspired Optimization in Deep Neural Network,SN Computer Science,5,8,1127,2-s2.0-85211163696,2024-12-01,2024,10.1007/s42979-024-03501-0,Springer,N/A,Q1,4,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85211163696,,,,,YES,
11,Dr.Monica R Mundada,Hegde S.K.,A novel ensembled deep machine learning framework for the prediction of chronic disease,A novel ensembled deep machine learning framework for the prediction of chronic disease,Artificial Intelligence Transformations for Healthcare Applications Medical Diagnosis Treatment and Patient Care,,,258-273,2-s2.0-85202724041,2024-07-22,2024,10.4018/979-8-3693-7462-7.ch012,IGI Global,N/A,N/A,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85202724041,,,,,YES,
12,Dr.Monica R Mundada,Shweta ,Cyber Analyzer—A Machine Learning Approach for the Detection of Cyberbullying—A Survey,Cyber Analyzer—A Machine Learning Approach for the Detection of Cyberbullying—A Survey,Lecture Notes in Networks and Systems,789 LNNS,,589-602,2-s2.0-85178606036,2024-01-01,2024,10.1007/978-981-99-6586-1_40,Springer Science and Business Media Deutschland GmbH,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85178606036,,,,,YES,
13,Dr.Monica R Mundada,Mundada M.R.,DeepDerm: Elevating Precision in Dermatological Diagnosis with Enhanced CNN,DeepDerm: Elevating Precision in Dermatological Diagnosis with Enhanced CNN,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,,,1-7,2-s2.0-85211121871,2024-01-01,2024,10.1109/ICCCNT61001.2024.10724699,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,0,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85211121871,,,,,YES,
14,Dr.Monica R Mundada,Mundada M.R.,Application of flood catastrophe model to estimate revenue and insurance losses under unpredictable precipitation conditions,Application of flood catastrophe model to estimate revenue and insurance losses under unpredictable precipitation conditions,International Journal of Business and Systems Research,18,2,170-189,2-s2.0-85187182034,2024-01-01,2024,10.1504/IJBSR.2024.137104,Inderscience Publishers,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85187182034,,,,,YES,
15,Dr.Monica R Mundada,Pranav V.B.,Performance Analysis of Various Deep Learning Models in Lung Cancer Detection and Classification Using Medical Images,Performance Analysis of Various Deep Learning Models in Lung Cancer Detection and Classification Using Medical Images,5th International Conference on Circuits Control Communication and Computing I4c 2024,,,219-227,2-s2.0-85211938326,2024-01-01,2024,10.1109/I4C62240.2024.10748430,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,1,YES,,,https://api.elsevier.com/content/abstract/scopus_id/85211938326,,,,,YES,
16,Dr.Monica R Mundada,Pujar M.,An Efficient Framework for Web Content Mining Systems Using Improved CD-PAM Clustering and the A-CNN Technique,An Efficient Framework for Web Content Mining Systems Using Improved CD-PAM Clustering and the A-CNN Technique,SN Computer Science,4,5,692,2-s2.0-85170400338,2023-09-01,2023,10.1007/s42979-023-02137-w,Springer,N/A,Q1,6,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85170400338,,,,,YES,
17,Dr.Monica R Mundada,Shilpa M.,Statistical Analysis of Factors Affecting Electronic Product Waste Generation in Bangalore City,Statistical Analysis of Factors Affecting Electronic Product Waste Generation in Bangalore City,Journal of Mines Metals and Fuels,71,2,255-260,2-s2.0-105002078460,2023-02-01,2023,10.18311/jmmf/2023/33390,Informatics Publishing Limited,N/A,Q1,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/105002078460,,,,,YES,
18,Dr.Monica R Mundada,Shashikala N.,Internet of Things (IoT) for Secure Data and M2M Communications—A Study,Internet of Things (IoT) for Secure Data and M2M Communications—A Study,Lecture Notes on Data Engineering and Communications Technologies,139,,13-28,2-s2.0-85138185469,2023-01-01,2023,10.1007/978-981-19-3015-7_2,Springer Science and Business Media Deutschland GmbH,N/A,Q1,2,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85138185469,,,,,YES,
19,Dr.Monica R Mundada,Meeradevi ,Optimized Farming: Crop Recommendation System Using Predictive Analytics,Optimized Farming: Crop Recommendation System Using Predictive Analytics,International Journal of Intelligent Engineering and Systems,16,3,579-592,2-s2.0-85158162632,2023-01-01,2023,10.22266/ijies2023.0630.46,Intelligent Network and Systems Society,N/A,Q1,7,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85158162632,,,,,YES,
20,Dr.Monica R Mundada,Hegde R.,Sentiment Analysis and Feature Reduction Using Arboreal Monkey Compression Algorithm with Deep Modified Neural Network Classifier,Sentiment Analysis and Feature Reduction Using Arboreal Monkey Compression Algorithm with Deep Modified Neural Network Classifier,Internet of Behavior Iob,,,125-140,2-s2.0-85159424644,2023-01-01,2023,10.1201/9781003305170-8,CRC Press,N/A,N/A,0,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85159424644,,,,,YES,
21,Dr.Monica R Mundada,Shruthi G.,Deep Learning-based Resource Prediction and Mutated Leader Algorithm Enabled Load Balancing in Fog Computing,Deep Learning-based Resource Prediction and Mutated Leader Algorithm Enabled Load Balancing in Fog Computing,International Journal of Computer Network and Information Security,15,4,84-95,2-s2.0-85166773989,2023-01-01,2023,10.5815/ijcnis.2023.04.08,Modern Education and Computer Science Press,N/A,Q1,25,NO,,,https://api.elsevier.com/content/abstract/scopus_id/85166773989,,,,,YES,
