sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.Rajarajeswari S,"S Shreyashree, Pramod Sunagar, S Rajarajeswari, Anita Kanavalli",A literature review on bidirectional encoder representations from transformers,Lecture Notes in Networks and Systems,Lecture Notes in Networks and Systems,336,,305-320,2-s2.0-85124138837,2022-01-01,2022,10.1007/978-981-16-6723-7_23,Springer Science and Business Media Deutschland GmbH,N/A,Q1,55,NO,,,https://link.springer.com/chapter/10.1007/978-981-16-6723-7_23,7,5,235,,YES,
2,Dr.Rajarajeswari S,"S Rajarajeswari, Sharat Naik, Shagun Srikant, MK Sai Prakash, Prarthana Uday",Movie recommendation system,Advances in Intelligent Systems and Computing,Advances in Intelligent Systems and Computing,882,,329-340,2-s2.0-85066151569,2019-01-01,2019,10.1007/978-981-13-5953-8_28,Springer Verlagservice@springer.de,N/A,Q1,33,NO,,,https://link.springer.com/chapter/10.1007/978-981-13-5953-8_28,7,5,235,,YES,
3,Dr.Rajarajeswari S,"Sandeep Venkatesh, E Abhiram, S Rajarajeswari, KM Sunil Kumar, Shreyas Balakuntala, Nitin Jagadish","An intelligent system to detect, avoid and maintain potholes: A graph theoretic approach",,,,,80-80,,2014-1,2014,10.1109/icmu.2014.6799066,IEEE,N/A,N/A,30,NO,,,https://ieeexplore.ieee.org/abstract/document/6799066/,7,5,235,,NO,
4,Dr.Rajarajeswari S,"S Shreyashree, Pramod Sunagar, S Rajarajeswari, Anita Kanavalli",BERT-based hybrid RNN model for multi-class text classification to study the effect of pre-trained word embeddings,International Journal of Advanced Computer Science and Applications,International Journal of Advanced Computer Science and Applications,13,9,667-674,2-s2.0-85139294151,2022-01-01,2022,10.14569/IJACSA.2022.0130979,Science and Information Organization,N/A,Q1,23,NO,,,https://search.proquest.com/openview/e4cf78c9c76360df62fabb60911f310a/1?pq-origsite=gscholar&cbl=5444811,7,5,235,,YES,
5,Dr.Rajarajeswari S,"S Rajarajeswari, K Somasundaram",Data confidentiality and privacy in cloud computing,,,9,4,,,2016-1-19,2016,10.17485/ijst/2016/v9i4/87040,Indian Society for Education and Environment,N/A,N/A,15,NO,,,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2016/Issue-4/Article49.pdf,7,5,235,,NO,
6,Dr.Rajarajeswari S,"Alisha Ahmed, S. Rajarajeswari, M Mallegowda, N Subash",The Power of Virtual Reality-Next-Gen Radiology Training,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,2024 15th International Conference on Computing Communication and Networking Technologies Icccnt 2024,,,1-6,2-s2.0-85213035428,2024-01-01,2024,10.1109/ICCCNT61001.2024.10726148,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,7,YES,,,https://ieeexplore.ieee.org/abstract/document/10726148/,7,5,235,,YES,
7,Dr.Rajarajeswari S,"S Rajarajeswari, K Somasundaram",An empirical study on feature selection for data classification,,,,,591-593,,2012-10-7,2012,10.1145/2382936.2383032,ACM,N/A,N/A,7,NO,,,https://search.proquest.com/openview/1cc1ad5aa120f9f43193dc9dcfa4ab20/1?pq-origsite=gscholar&cbl=1626343,7,5,235,,NO,
8,Dr.Rajarajeswari S,"Manisha Pai, S Rajarajeswari, DP Akarsha, SD Ashwini",Analytical study on load balancing algorithms in cloud computing,Lecture Notes in Networks and Systems,Lecture Notes in Networks and Systems,209,,631-646,2-s2.0-85113378072,2022-01-01,2021,10.1007/978-981-16-2126-0_50,Springer Science and Business Media Deutschland GmbH,N/A,Q1,6,NO,,,https://link.springer.com/chapter/10.1007/978-981-16-2126-0_50,7,5,235,,YES,
9,Dr.Rajarajeswari S,"R.Deepak V.PrashantKrishnan, S.Rajarajeswari, VenkatKrishnamohan, VivekChandraSheel",Music Generation Using Deep Learning Techniques,,,17,9,3983-3987,,2020-7-1,2020,10.1166/jctn.2020.9003,American Scientific Publishers,N/A,N/A,6,NO,,,https://www.ingentaconnect.com/contentone/asp/jctn/2020/00000017/f0020009/art00028?crawler=true&mimetype=application/pdf,7,5,235,,NO,
10,Dr.Rajarajeswari S,"Nanda Kishore, S Rajarajeswari, Pramod Sunagar, Anita Kanavalli",Survey on software solution for high performance packet processing,Lecture Notes in Electrical Engineering,Lecture Notes in Electrical Engineering,903,,819-829,2-s2.0-85138786414,2022-01-01,2022,10.1007/978-981-19-2281-7_75,Springer Science and Business Media Deutschland GmbH,N/A,Q1,5,NO,,,https://link.springer.com/chapter/10.1007/978-981-19-2281-7_75,7,5,235,,YES,
