sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.Sangeetha V,"R Venkatesh, Deepak Dasaratha Rao, V Sangeetha, Ch Subbalakshmi, V Bala Dhandayuthapani, R Mekala",Enhancing Stability in Autonomous Control Systems Through Fuzzy Gain Scheduling (FGS) and Lyapunov Function Analysis,International Journal of Applied and Computational Mathematics,International Journal of Applied and Computational Mathematics,10,4,130,2-s2.0-85201974952,2024-08-01,2024,10.1007/s40819-024-01745-1,Springer,N/A,Q1,77,NO,,,https://link.springer.com/article/10.1007/s40819-024-01745-1,6,3,223,,YES,
2,Dr.Sangeetha V,"V Sangeetha, M Vaneeta, S Swapna Kumar, Piyush Kumar Pareek, Sunanda Dixit",Efficient intrusion detection of malicious node using Bayesian hybrid detection in MANET,Iop Conference Series Materials Science and Engineering,Iop Conference Series Materials Science and Engineering,1022,1,012077,2-s2.0-85100754896,2021-01-18,2021,10.1088/1757-899X/1022/1/012077,IOP Publishing Ltd,N/A,N/A,25,YES,,,https://iopscience.iop.org/article/10.1088/1757-899X/1022/1/012077/meta,6,3,223,,YES,
3,Dr.Sangeetha V,"Mohammed S Alzaidi, Piyush Kumar Shukla, V Sangeetha, Karuna Nidhi Pandagre, Vinodh Kumar Minchula, Sachin Sharma, Arfat Ahmad Khan, V Prashanth",Applying machine learning enabled myriad fragment empirical modes in 5G communications to detect profile injection attacks,Wireless Networks,Wireless Networks,30,6,5533-5546,2-s2.0-85149838317,2024-08-01,2024,10.1007/s11276-023-03301-z,Springer,N/A,Q1,13,NO,,,https://link.springer.com/article/10.1007/s11276-023-03301-z,6,3,223,,YES,
4,Dr.Sangeetha V,"Sreenivasulu Kutala, Harshavardhan Awari, Sangeetha V, Arun Anthonisamy, Naga Jyothi Bathula, Syed Inthiyaz",Hybrid Deep Learning-Based Air Pollution Prediction and Index Classification Using an Optimization Algorithm,Aims Environmental Science,Aims Environmental Science,11,4,551-575,2-s2.0-85200719396,2024-01-01,2024,10.3934/environsci.2024027,American Institute of Mathematical Sciences,N/A,Q1,7,NO,,,https://www.sciopen.com/local/article_pdf/10.3934/environsci.2024027.pdf,6,3,223,,YES,
5,Dr.Sangeetha V,"K Beena, V Sangeetha, SR Deepa, M Vaneeta",Contemporary Research Trends in Plant Leaf Disease Detection,4th International Conference on Circuits Control Communication and Computing I4c 2022,4th International Conference on Circuits Control Communication and Computing I4c 2022,,,440-445,2-s2.0-85150269276,2022-01-01,2022,10.1109/I4C57141.2022.10057867,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,7,YES,,,https://ieeexplore.ieee.org/abstract/document/10057867/,6,3,223,,YES,
6,Dr.Sangeetha V,"R Anusha Bai, V Sangeetha",A comparative study on brain intracerebral hemorrhage classification using head CT scan for stroke analysis,,,,,633-649,,2023,2023,10.1007/978-981-99-3608-3_44,Springer Nature Singapore,N/A,N/A,6,NO,,,https://link.springer.com/chapter/10.1007/978-981-99-3608-3_44,6,3,223,,NO,
7,Dr.Sangeetha V,"V Sangeetha, S Swapna Kumar",Detection of malicious node in mobile ad-hoc network,Epscicon 2018 4th International Conference on Power Signals Control and Computation,Epscicon 2018 4th International Conference on Power Signals Control and Computation,,,1-3,2-s2.0-85049977628,2018-06-11,2018,10.1109/EPSCICON.2018.8379598,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,6,YES,,,https://ieeexplore.ieee.org/abstract/document/8379598/,6,3,223,,YES,
8,Dr.Sangeetha V,"Mamatha A Sangeetha V, Vaneeta M",Breast cancer prediction using genetic algorithm and sand cat swarm optimization algorithm,Indonesian Journal of Electrical Engineering and Computer Science,Indonesian Journal of Electrical Engineering and Computer Science,37,2,849-858,2-s2.0-85210531853,2025-02-01,2025,10.11591/ijeecs.v37.i2.pp849-858,Institute of Advanced Engineering and Science,N/A,Q1,5,NO,,,https://elibrary.ru/item.asp?id=80720492,6,3,223,,YES,
9,Dr.Sangeetha V,"V Sangeetha, PN Sudha",Synthesis and characterisation of nano chitosan/PVP/SF for environmental engineering applications,,,26,2,162-170,,2021-4-20,2021,10.1080/10889868.2021.1911922,Informa UK Limited,N/A,N/A,5,NO,,,https://www.tandfonline.com/doi/abs/10.1080/01430750.2018.1525592,6,3,223,,NO,
10,Dr.Sangeetha V,"V Sangeetha, S Swapna Kumar",ZIDS: zonal-based intrusion detection system for studying the malicious node behaviour in MANET,2015 International Conference on Emerging Research in Electronics Computer Science and Technology Icerect 2015,2015 International Conference on Emerging Research in Electronics Computer Science and Technology Icerect 2015,,,276-281,2-s2.0-84979680923,2016-06-23,2015,10.1109/ERECT.2015.7499026,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,5,YES,,,https://ieeexplore.ieee.org/abstract/document/7499026/,6,3,223,,YES,
