sl_no,author,coauthor,Journal Paper Title,JournalTitle,JournalName,Volume,Issue,Pages,ArticleNumber,DateOfPublication,Year,DOI,Publisher,SJR,Quartile,NumberOfCitations,IsConference,ConferenceDate,ConferenceLocation,URL,h_index,i10_index,total_citations,document_count,ScopusVerified,ORCID
1,Dr.Seema S,S Seema 15. Kumari Deepika,Predictive Analytics to Prevent and Control Chronic Diseases,Proceedings of the 2016 2nd International Conference on Applied and Theoretical Computing and Communication Technology Icatcct 2016,Proceedings of the 2016 2nd International Conference on Applied and Theoretical Computing and Communication Technology Icatcct 2016,,,381-386,2-s2.0-85020173719,2017-04-25,2016,10.1109/ICATCCT.2016.7912028,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,129,YES,,,,9,6,408,,YES,
2,Dr.Seema S,Seema S Rajalaxmi Hegde,Aspect Based Feature Extraction and Sentiment Classification of Review Data sets using Incremental Machine learning Algorithm,Proceedings of the 3rd IEEE International Conference on Advances in Electrical and Electronics Information Communication and Bio Informatics Aeeicb 2017,Proceedings of the 3rd IEEE International Conference on Advances in Electrical and Electronics Information Communication and Bio Informatics Aeeicb 2017,,,122-125,2-s2.0-85026667953,2017-07-07,2017,10.1109/AEEICB.2017.7972395,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,42,YES,,,,9,6,408,,YES,
3,Dr.Seema S,"Chetan Shetty, BJ Sowmya, S Seema, KG Srinivasa",Air pollution control model using machine learning and IoT techniques,Advances in Computers,Advances in Computers,117,1,187-218,S0065245819300592,2020-01-01,2020,10.1016/bs.adcom.2019.10.006,Academic Press Inc.apjcs@harcourt.com,N/A,Q1,38,NO,,,https://www.sciencedirect.com/science/article/pii/S0065245819300592,9,6,408,,YES,
4,Dr.Seema S,"Deeba Khan, Seema Shedole",Leveraging deep learning techniques and integrated omics data for tailored treatment of breast cancer,Journal of Personalized Medicine,Journal of Personalized Medicine,12,5,674,2-s2.0-85129808309,2022-05-01,2022,10.3390/jpm12050674,MDPI,N/A,Q1,26,NO,,,https://www.mdpi.com/2075-4426/12/5/674,9,6,408,,YES,
5,Dr.Seema S,"Chetan Shetty, S Seema, BJ Sowmya, Rajesh Nandalike, S Supreeth, Dayananda P, Rohith S, Rajeev Ranjan, Venugopal Goud",A machine learning approach for environmental assessment on air quality and mitigation strategy,Journal of Engineering United Kingdom,Journal of Engineering United Kingdom,2024,1,2893021,2-s2.0-85199247723,2024-01-01,2024,10.1155/2024/2893021,John Wiley and Sons Ltd,N/A,Q1,17,NO,,,https://onlinelibrary.wiley.com/doi/abs/10.1155/2024/2893021,9,6,408,,YES,
6,Dr.Seema S,"BJ Sowmya, Chetan Shetty, S Seema, KG Srinivasa",Utility system for premature plant disease detection using machine learning,Hybrid Computational Intelligence Challenges and Applications,Hybrid Computational Intelligence Challenges and Applications,,,149-172,2-s2.0-85135393040,2020-01-01,2020,10.1016/B978-0-12-818699-2.00008-1,Elsevier,N/A,N/A,10,NO,,,https://www.sciencedirect.com/science/article/pii/B9780128186992000081,9,6,408,,YES,
7,Dr.Seema S,"Sushma Bylaiah, Seema Shedole, Kuralayanapalya Puttahonnappa Suresh, Leena Gowda, Sharanagouda S Patil, Uma Bharathi Indrabalan, Chandan Shivamallu",Relative analysis of codon usage and nucleotide bias between anthrax toxin genes subsist Inpxo1 plasmid of bacillus anthracis,,,17,8,731-740,,2021-8-31,2021,10.6026/97320630017731,Biomedical Informatics,N/A,N/A,9,NO,,,https://www.researchgate.net/profile/Chandan-Shivamallu/publication/350893875_Relative_Analysis_of_Codon_Usage_and_Nucleotide_Bias_between_Anthrax_Toxin_Genes_Subsist_Inpxo1_Plasmid_of_Bacillus_Anthracis/links/60791b85907dcf667ba13752/Relative-Analysis-of-Codon-Usage-and-Nucleotide-Bias-between-Anthrax-Toxin-Genes-Subsist-Inpxo1-Plasmid-of-Bacillus-Anthracis.pdf,9,6,408,,NO,
8,Dr.Seema S,"S Seema, Suhas Goutham, Smaranita Vasudev, Rakshith R Putane",Deep learning models for analysis of traffic and crowd management from surveillance videos,Advances in Intelligent Systems and Computing,Advances in Intelligent Systems and Computing,1119,,83-93,2-s2.0-85083325902,2020-01-01,2020,10.1007/978-981-15-2414-1_9,Springer,N/A,Q1,9,NO,,,https://link.springer.com/chapter/10.1007/978-981-15-2414-1_9,9,6,408,,YES,
9,Dr.Seema S,"Prashant V Krishnan, Vivek Chandra Sheel, MVS Viswanadh, Chetan Shetty, S Seema",Data analysis of road traffic accidents to minimize the rate of accidents,Proceedings 2018 3rd International Conference on Computational Systems and Information Technology for Sustainable Solutions Csitss 2018,Proceedings 2018 3rd International Conference on Computational Systems and Information Technology for Sustainable Solutions Csitss 2018,,,247-253,2-s2.0-85070376110,2018-12-01,2018,10.1109/CSITSS.2018.8768736,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,9,YES,,,https://ieeexplore.ieee.org/abstract/document/8768736/,9,6,408,,YES,
10,Dr.Seema S,"DN Disha, BJ Sowmya, S Seema",An efficient framework of data mining and its analytics on massive streams of big data repositories,2016 IEEE International Conference on Distributed Computing VLSI Electrical Circuits and Robotics Discover 2016 Proceedings,2016 IEEE International Conference on Distributed Computing VLSI Electrical Circuits and Robotics Discover 2016 Proceedings,,,195-200,2-s2.0-85015910512,2016-01-01,2016,10.1109/DISCOVER.2016.7806259,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,9,YES,,,https://ieeexplore.ieee.org/abstract/document/7806259/,9,6,408,,YES,
11,Dr.Seema S,"Darshana A Naik, S Mythreyan, S Seema",Retracted: Relevance Feature Discovery in Text Mining Using NLP,,,,,1-6,,2022-5-27,2022,10.1109/incet54531.2022.9824807,IEEE,N/A,N/A,8,NO,,,https://ieeexplore.ieee.org/abstract/document/9824807/,9,6,408,,NO,
12,Dr.Seema S,"BJ Sowmya, CS Nikhil Jain, S Seema, Srinivasa KG",Fake news detection using LSTM neural network augmented with SGD classifier,,,,,155-164,,2020-9-25,2020,10.1007/978-981-15-7345-3_13,Springer Singapore,N/A,N/A,8,NO,,,https://mail.solidstatetechnology.us/index.php/JSST/article/view/4504,9,6,408,,NO,
13,Dr.Seema S,"C Shetty, BJ Sowmya, S Seema",Air pollution control model using machine learning and IoT techniques-ScienceDirect,,,,,187-218,,2020,2020,10.1016/bs.adcom.2019.10.006,Elsevier,N/A,N/A,7,NO,,,https://scholar.google.com/scholar?cluster=15946598566101934521&hl=en&oi=scholarr,9,6,408,,NO,
14,Dr.Seema S,"BJ Sowmya, Chetan Shetty, Netravati V Cholappagol, S Seema",IOT and data analytics solution for smart agriculture,,,,,210-237,,2019,2019,10.4018/978-1-5225-6070-8.ch010,IGI Global,N/A,N/A,7,NO,,,https://www.igi-global.com/chapter/iot-and-data-analytics-solution-for-smart-agriculture/210714,9,6,408,,NO,
15,Dr.Seema S,"BJ Sowmya, S Seema, KG Srinivasa",Data analytic techniques for developing decision support system on agrometeorological parameters for farmers,International Journal of Cognitive Informatics and Natural Intelligence,International Journal of Cognitive Informatics and Natural Intelligence,14,2,92-107,2-s2.0-85100752582,2020-01-01,2020,10.4018/IJCINI.2020040106,IGI Global,N/A,Q1,5,NO,,,https://www.igi-global.com/article/data-analytic-techniques-for-developing-decision-support-system-on-agrometeorological-parameters-for-farmers/250292,9,6,408,,YES,
16,Dr.Seema S,"K Deepika, S Seema",2nd international conference on applied and theoretical computing and communication technology (iCATccT),,,,,,,2016,2016,10.1109/icatcct38725.2016,IEEE,N/A,N/A,5,NO,,,https://scholar.google.com/scholar?cluster=9933494912953075804&hl=en&oi=scholarr,9,6,408,,NO,
17,Dr.Seema S,"Mohammed Wasim Changapur, S Seema",Bioacoustics monitoring to improve conservation efforts for endangered species,7th IEEE International Conference on Computational Systems and Information Technology for Sustainable Solutions Csitss 2023 Proceedings,7th IEEE International Conference on Computational Systems and Information Technology for Sustainable Solutions Csitss 2023 Proceedings,,,1-7,2-s2.0-85181540711,2023-01-01,2023,10.1109/CSITSS60515.2023.10334168,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,4,YES,,,https://ieeexplore.ieee.org/abstract/document/10334168/,9,6,408,,YES,
18,Dr.Seema S,"DN Disha, S Seema, U Shenoy Sharada",Prediction of bipolar disorder using machine learning techniques,2022 2nd International Conference on Intelligent Technologies Conit 2022,2022 2nd International Conference on Intelligent Technologies Conit 2022,,,1-5,2-s2.0-85137275893,2022-01-01,2022,10.1109/CONIT55038.2022.9848137,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,4,YES,,,https://ieeexplore.ieee.org/abstract/document/9848137/,9,6,408,,YES,
19,Dr.Seema S,Seema Shedole Rajalaxmi P Baddur,A Novel Approach for Sentiment Analysis Using Deep Recurrent Networks and Sequence Modeling,Recent Patents on Engineering,Recent Patents on Engineering,14,3,403-411,2-s2.0-85097163326,2020-01-01,2020,10.2174/1872212113666190315163009,Bentham Science Publishers,N/A,Q1,4,NO,,,https://www.benthamdirect.com/content/journals/eng/10.2174/1872212113666190315163009,9,6,408,,YES,
20,Dr.Seema S,"BJ Sowmya, S Seema, HR Chetan Gowda, O Shastry Ajay, OH Nikith, KG Srinivasa",Computer Vision and IoT-Based Automated Hydroponic Farms in Urban Areas: A Soilless Cultivation,International Journal of Social Ecology and Sustainable Development,International Journal of Social Ecology and Sustainable Development,13,1,1-21,2-s2.0-85140620943,2022-01-01,2022,10.4018/IJSESD.295966,IGI Global,N/A,Q1,3,NO,,,https://www.igi-global.com/article/computer-vision-and-iot-based-automated-hydroponic-farms-in-urban-areas/295966,9,6,408,,YES,
21,Dr.Seema S,"S Seema, BJ Sowmya, P Chandrika, D Kumutha",Efficient facial expression recognition using deep learning techniques,,,,,99-118,,2022,2022,10.4018/978-1-7998-8161-2.ch006,IGI Global,N/A,N/A,3,NO,,,https://www.igi-global.com/chapter/efficient-facial-expression-recognition-using-deep-learning-techniques/293125,9,6,408,,NO,
22,Dr.Seema S,"B Sushma, S Shedole, KP Suresh, G Leena, SS Patil, G Srikantha","An Estimate of global anthrax prevalence in livestock: A meta-analysis. Veterinary World, 14 (5), 1263–1271",,,,,1263-1271,,2021-5-22,2021,10.14202/vetworld.2021.1263-1271,Veterinary World,N/A,N/A,3,NO,,,https://scholar.google.com/scholar?cluster=557031637239434149&hl=en&oi=scholarr,9,6,408,,NO,
23,Dr.Seema S,"BJ Sowmya, S Seema, KG Srinivasa",Utility system for farmers using data analytics and Blockchain–KrishiCoin,,,23,6,1023-1036,,2020-8-17,2020,10.1080/09720510.2020.1799502,Taru Publications,N/A,N/A,3,NO,,,https://www.tandfonline.com/doi/abs/10.1080/09720510.2020.1799502,9,6,408,,NO,
24,Dr.Seema S,"Deeba Khan, Seema Shedole",Accelerated deep learning in proteomics—a review,Lecture Notes in Electrical Engineering,Lecture Notes in Electrical Engineering,630,,291-300,2-s2.0-85081396823,2020-01-01,2020,10.1007/978-981-15-2305-2_23,Springer,N/A,Q1,3,NO,,,https://link.springer.com/chapter/10.1007/978-981-15-2305-2_23,9,6,408,,YES,
25,Dr.Seema S,"Sulochana Roy, BJ Sowmya, S Seema, S Rajeshwari, MS Vinutha",Utility System for Elevating Pre and Post Production of Crops,2019 IEEE International Conference on Distributed Computing VLSI Electrical Circuits and Robotics Discover 2019 Proceedings,2019 IEEE International Conference on Distributed Computing VLSI Electrical Circuits and Robotics Discover 2019 Proceedings,,,1-6,2-s2.0-85081997710,2019-08-01,2019,10.1109/DISCOVER47552.2019.9008103,Institute of Electrical and Electronics Engineers Inc.,N/A,N/A,3,YES,,,https://ieeexplore.ieee.org/abstract/document/9008103/,9,6,408,,YES,
